Date,AAPL,MSFT,WMT,NKE,MCD,DIS
2017-11-21,167.6562,80.8754,91.9262,57.9188,159.3251,99.3686
2017-11-22,169.4185,80.2861,91.8214,57.6067,160.0351,99.1178
2017-11-24,169.4282,80.431,92.0214,57.8505,160.0919,99.0213
2017-11-27,168.5761,81.0203,92.0214,58.1528,159.95,99.166
2017-11-28,167.5884,81.996,92.1643,58.1041,162.203,99.7642
2017-11-29,164.1121,80.5083,92.9167,58.8648,161.3415,101.5297
2017-11-30,166.407,81.3101,92.6024,58.9233,163.7699,101.1245
2017-12-01,165.6323,81.397,92.7167,58.5906,164.627,101.5393
2017-12-04,164.4219,78.3251,92.3929,58.8059,162.5129,106.3341
2017-12-05,164.267,78.8177,93.1738,59.119,164.7413,103.4399
2017-12-06,163.657,79.9673,92.65,58.434,165.2079,101.7419
2017-12-07,163.9572,79.6871,92.6596,59.2951,164.6651,101.549
2017-12-08,164.0055,81.3004,92.4394,59.98,164.8937,101.3642
2017-12-11,167.201,82.3341,92.8032,60.5769,164.9889,103.8927
2017-12-12,166.2617,82.6722,92.583,60.8313,164.0175,104.4762
2017-12-13,166.8137,82.45,93.5979,62.9154,165.2746,104.6513
2017-12-14,166.7653,81.8124,92.9947,63.1405,164.8842,107.5299
2017-12-15,168.4599,83.899,92.9755,63.3949,165.7603,108.2106
2017-12-18,170.8323,83.445,93.7319,63.4144,165.8936,107.9772
2017-12-19,169.0118,82.9137,94.5936,62.8567,165.1222,108.7358
2017-12-20,168.8278,82.6142,94.5457,62.2207,163.9604,106.6741
2017-12-21,169.4669,82.5949,93.8851,63.3753,163.6557,106.5574
2017-12-22,169.4669,82.6045,94.0287,61.9272,163.2462,105.6821
2017-12-26,165.1676,82.4983,94.9382,62.2794,163.1224,105.1472
2017-12-27,165.1966,82.7977,95.034,61.5945,164.4366,104.6804
2017-12-28,165.6614,82.8074,95.168,61.5945,164.8461,104.8069
2017-12-29,163.87,82.6335,94.5457,61.2031,163.9128,104.554
2018-01-02,166.804,83.0296,94.3925,62.1229,164.9603,108.7261
2018-01-03,166.775,83.416,95.2159,62.1131,164.2652,109.1929
2018-01-04,167.5496,84.1502,95.3021,62.0739,165.4175,109.1442
2018-01-05,169.4572,85.1935,95.867,62.6023,165.7508,108.551
2018-01-08,168.8278,85.2804,97.2839,63.16,165.6365,106.995
2018-01-09,168.8085,85.2225,96.1159,62.7099,165.2651,106.9172
2018-01-10,168.7697,84.8361,95.4265,62.8371,165.2365,106.4601
2018-01-11,169.7284,85.0872,95.7616,62.9056,165.1222,107.9383
2018-01-12,171.4811,86.5556,96.5754,63.2774,165.2937,109.3776
2018-01-16,170.6096,85.348,96.4031,62.0544,165.3984,107.6466
2018-01-17,173.4274,87.0772,98.3275,62.436,166.6364,108.8914
2018-01-18,173.5823,87.0386,99.8594,62.7295,166.246,107.384
2018-01-19,172.8077,86.942,100.1371,65.7628,167.7221,107.5493
2018-01-22,171.3939,88.4973,100.9604,64.9604,167.8078,108.0453
2018-01-23,171.4326,88.7774,101.3913,65.6943,168.3792,107.3743
2018-01-24,168.702,88.7001,101.286,66.5357,167.7221,107.4618
2018-01-25,165.6904,89.1928,102.0615,66.252,167.284,107.5104
2018-01-26,166.0778,90.864,103.7753,66.5749,169.8553,109.1053
2018-01-29,162.6402,90.7288,104.8859,66.1248,169.2934,108.4732
2018-01-30,161.6816,89.5889,103.1434,65.8802,164.2556,107.0825
2018-01-31,162.127,91.7818,102.0615,66.751,162.9795,105.6821
2018-02-01,162.4659,91.0572,101.0275,66.1933,163.7033,107.4521
2018-02-02,155.4165,88.6615,100.0317,65.7725,161.3035,105.7113
2018-02-05,151.5335,85.0099,95.8286,63.0035,156.0371,101.8213
2018-02-06,157.8663,88.2268,96.6042,63.8156,157.3037,103.2509
2018-02-07,154.4869,86.5652,98.4711,64.2168,157.8085,101.8796
2018-02-08,150.2359,82.1215,95.7616,61.1444,151.3898,98.5634
2018-02-09,152.0735,85.1838,95.1393,64.0798,153.1326,100.2555
2018-02-12,158.1989,86.1015,95.3116,64.5592,156.0847,100.5473
2018-02-13,159.7837,86.7778,96.6808,64.4516,154.6563,101.2572
2018-02-14,162.7297,88.1366,97.3701,66.4966,152.3612,101.724
2018-02-15,168.1939,89.9321,98.835,66.8195,153.1135,102.2881
2018-02-16,167.6494,89.2915,100.319,66.8293,150.2661,103.601
2018-02-20,167.0855,89.9903,90.1032,66.0367,149.6662,103.0661
2018-02-21,166.3271,88.7965,87.6235,65.6062,151.0756,102.1617
2018-02-22,167.7175,89.0295,88.8203,65.6845,152.9993,102.3464
2018-02-23,170.6343,91.2909,88.9352,66.6923,155.2848,104.3012
2018-02-26,174.0081,92.6108,89.1554,68.1502,155.78,106.7908
2018-02-27,173.4442,91.4268,87.6235,66.5651,152.9993,101.9866
2018-02-28,173.1817,91.0094,86.1778,65.5866,151.1688,100.3236
2018-03-01,170.1481,90.1165,85.2874,64.8919,149.2138,99.7498
2018-03-02,171.3246,90.3106,84.9906,64.6662,142.0933,100.1583
2018-03-05,171.9177,90.8832,86.1491,63.8418,144.7383,100.5667
2018-03-06,171.7719,90.5726,85.2682,64.0283,144.9013,102.0547
2018-03-07,170.1773,91.0968,84.0044,62.9781,146.0321,100.7418
2018-03-08,172.0344,91.65,84.6786,63.9007,148.0063,101.1697
2018-03-09,174.9901,93.6979,85.4492,65.0686,150.6897,101.8504
2018-03-12,176.6818,93.9211,84.8231,65.5789,151.1688,102.2783
2018-03-13,174.9803,91.6306,85.0446,64.941,151.6288,100.8779
2018-03-14,173.4928,91.087,84.4379,64.9704,151.648,101.0433
2018-03-15,173.6969,91.4073,84.2838,65.1569,154.8776,100.4014
2018-03-16,173.0844,91.815,85.8826,64.6858,155.5964,100.0416
2018-03-19,170.4398,90.1553,84.226,64.4895,152.3859,98.6898
2018-03-20,170.3815,90.3882,84.7075,65.5593,152.7405,98.5634
2018-03-21,166.5216,89.7574,84.9291,65.1176,152.0505,99.0205
2018-03-22,164.1687,87.1466,83.9274,63.2235,150.498,97.834
2018-03-23,160.367,84.6134,82.2708,63.4296,148.5238,95.8306
2018-03-26,167.98,91.0191,84.2741,64.676,151.4276,97.8826
2018-03-27,163.6728,86.836,82.8776,64.941,150.9196,96.6281
2018-03-28,161.8644,86.7583,84.5342,64.2245,151.8109,95.8306
2018-03-29,163.1283,88.583,85.6899,65.206,149.8655,97.6784
2018-04-02,162.0588,85.914,82.396,62.9291,151.1497,95.9473
2018-04-03,163.7214,87.0689,83.5999,65.4611,153.718,96.6864
2018-04-04,166.8521,89.6118,84.0045,67.1492,154.9926,98.1744
2018-04-05,168.0091,89.6603,84.5727,68.2975,157.1201,99.3025
2018-04-06,163.7117,87.5736,83.494,66.2954,154.5326,97.5909
2018-04-09,165.3354,88.0977,83.0991,65.9322,154.5134,96.9587
2018-04-10,168.4467,90.1456,83.2628,65.7556,155.9893,98.5828
2018-04-11,167.6591,89.1556,82.7428,65.5887,156.5355,98.0285
2018-04-12,169.312,90.825,82.2804,66.5113,154.8872,97.6298
2018-04-13,169.8856,90.3397,82.8487,66.0009,154.9926,97.5909
2018-04-16,170.9454,91.3976,83.6385,65.8145,154.8968,97.4839
2018-04-17,173.2983,93.2417,84.6594,66.2561,155.7784,99.3608
2018-04-18,172.9094,93.6008,84.3416,64.9704,155.0693,98.4272
